Date,Description,Amount
2025-03-13,PAYMENT RECEIVED COREWAVE MEDIA INV20250023,4160.00
2025-03-14,NEFT COREWAVE MEDIA INV20250031,4190.99
2025-03-14,NEFT IRONWOOD JOINERY,4454.99
2025-03-16,REMITTANCE INV20250035,921.00
2025-03-17,PAYMENT RECEIVED JUNIPER DESIGN CO INV20250037,1190.50
2025-03-17,EFT NORTHBAY CATERING,1066.00
2025-03-19,RTGS GRIDLINE ELECTRICAL BULK PAYMENT,11266.24
2025-03-21,CARD PURCHASE OFFICEMART,-3510.25
2025-03-22,UPI COREWAVE MEDIA,8498.50
2025-03-25,NEFT GRIDLINE ELECTRICAL INV20250030,7667.00
2025-03-25,TRANSFER FROM NORTHBAY CATERING,8467.75
2025-03-26,BANK TRANSFER INV20250041 BLUEPEAK CONSULTING,4958.50
2025-03-26,FERNHILL LANDSCAPING PAYMENT,3633.99
2025-03-27,PAYMENT RECEIVED ACME INTERIORS INV20250027,5318.50
2025-03-29,REMITTANCE INV20250046,6276.00
2025-03-29,PAYMENT RECEIVED HARBOR & SONS PLUMBING INV20250048,469.00
2025-03-29,FUEL STATION,-1129.99
2025-04-01,BANK TRANSFER INV20250022 KESTREL LOGISTICS,1319.75
2025-04-09,WIRE TRANSFER MAPLEWOOD PROPERTY,7287.98
2025-04-11,SOFTWARE SUBSCRIPTION,-1421.75
2025-04-13,NEFT BLUEPEAK CONSULTING INV20250067,7212.25
2025-04-13,NORTHBAY CATERING PAYMENT,7082.00
2025-04-13,PAYROLL RUN,-1191.50
2025-04-15,UTILITY DIRECT DEBIT,-3097.25
2025-04-16,BANK TRANSFER INV20250062 NORTHBAY CATERING,5563.00
2025-04-17,NEFT HARBOR & SONS PLUMBING INV20250042,203.99
2025-04-18,NEFT COREWAVE MEDIA INV20250052,2253.99
2025-04-19,SOFTWARE SUBSCRIPTION,-315.50
2025-04-21,BANK TRANSFER INV20250069 KESTREL LOGISTICS,1762.00
2025-04-21,NEFT ORCHID WELLNESS INV20250044,1893.99
2025-04-22,TRANSFER FROM MAPLEWOOD PROPERTY,3445.99
2025-04-23,BANK TRANSFER INV20250051 HARBOR & SONS PLUMBING,1283.75
2025-04-27,SOFTWARE SUBSCRIPTION,-2000.00
2025-04-30,CARD PURCHASE OFFICEMART,-4180.00
2025-05-01,RENT STANDING ORDER,-1371.99
2025-05-01,CARD PURCHASE OFFICEMART,-3474.75
2025-05-03,JUNIPER DESIGN CO PAYMENT,7894.00
2025-05-03,UPI IRONWOOD JOINERY,2855.25
2025-05-03,PART PAYMENT KESTREL LOGISTICS INV20250056,4262.58
2025-05-06,TRANSFER FROM ORCHID WELLNESS,5188.00
2025-05-07,PAYMENT RECEIVED EASTGATE CLINIC INV20250043,8351.00
2025-05-07,HARBOR & SONS PLUMBING PAYMENT,4269.75
2025-05-07,UTILITY DIRECT DEBIT,-2553.00
2025-05-10,SOFTWARE SUBSCRIPTION,-3150.50
2025-05-11,EFT LUMEN MARKETING,5709.00
2025-05-11,PART PAYMENT DELTA FABRICATION INV20250064,973.56
2025-05-12,BANK TRANSFER INV20250057 HARBOR & SONS PLUMBING,2132.00
2025-05-14,FUEL STATION,-2520.75
2025-05-16,REMITTANCE INV20250058,5689.00
2025-05-19,TRANSFER FROM DELTA FABRICATION,4712.99
2025-05-19,RENT STANDING ORDER,-909.25
2025-05-21,RTGS ACME INTERIORS BULK PAYMENT,5213.99
2025-05-22,UTILITY DIRECT DEBIT,-1294.50
2025-05-23,UTILITY DIRECT DEBIT,-2029.25
2025-05-26,CARD PURCHASE OFFICEMART,-1333.50
2025-05-27,REMITTANCE INV20250084,971.75
2025-05-29,SOFTWARE SUBSCRIPTION,-2409.00
2025-05-30,BANK TRANSFER INV20250082 EASTGATE CLINIC,3716.00
2025-06-02,ACH CREDIT HARBOR & SONS PLUMBING REF INV20250066,6819.00
2025-06-04,BANK INTEREST,138.75
2025-06-08,REMITTANCE INV20250080,7604.25
2025-06-08,BANK TRANSFER INV20250081 LUMEN MARKETING,8123.00
2025-06-08,PAYMENT RECEIVED ORCHID WELLNESS INV20250088,4183.75
2025-06-08,PAYROLL RUN,-2727.75
2025-06-09,PAYMENT RECEIVED NORTHBAY CATERING INV20250074,1754.00
2025-06-10,UTILITY DIRECT DEBIT,-1710.50
2025-06-12,PAYROLL RUN,-2805.75
2025-06-13,PAYMENT RECEIVED ACME INTERIORS INV20250079,6546.25
2025-06-15,ACH CREDIT LUMEN MARKETING REF INV20250083,1148.99
2025-06-16,BANK TRANSFER INV20250076 NORTHBAY CATERING,4022.00
2025-06-19,REMITTANCE INV20250089,1493.50
2025-06-19,NEFT HARBOR & SONS PLUMBING INV20250077,8036.00
2025-06-21,ACH CREDIT ORCHID WELLNESS REF INV20250097,5868.00
2025-06-21,BANK TRANSFER INV20250087 BLUEPEAK CONSULTING,4003.50
2025-06-23,BANK TRANSFER INV20250075 IRONWOOD JOINERY,391.00
2025-06-24,ACH CREDIT FERNHILL LANDSCAPING REF INV20250109,2293.99
2025-06-25,NEFT GRIDLINE ELECTRICAL,2294.99
2025-07-01,ACH CREDIT GRIDLINE ELECTRICAL REF INV20250108,4683.00
2025-07-01,BLUEPEAK CONSULTING PAYMENT,3194.00
2025-07-02,UTILITY DIRECT DEBIT,-2844.75
2025-07-04,FUEL STATION,-3539.75
2025-07-07,PAYMENT RECEIVED IRONWOOD JOINERY INV20250101,5055.99
2025-07-08,BANK TRANSFER INV20250100 KESTREL LOGISTICS,278.99
2025-07-08,PAYMENT RECEIVED GRIDLINE ELECTRICAL INV20250078,1110.00
2025-07-09,PAYROLL RUN,-3483.25
2025-07-12,ACH CREDIT COREWAVE MEDIA REF INV20250104,4612.25
2025-07-13,NEFT FERNHILL LANDSCAPING,6808.75
2025-07-14,ACH CREDIT KESTREL LOGISTICS REF INV20250091,5297.00
2025-07-14,PAYMENT RECEIVED DELTA FABRICATION INV20250096,8438.25
2025-07-14,RTGS EASTGATE CLINIC BULK PAYMENT,8623.25
2025-07-15,CARD PURCHASE OFFICEMART,-2801.25
2025-07-17,SOFTWARE SUBSCRIPTION,-1817.50
2025-07-19,EFT JUNIPER DESIGN CO,1788.00
2025-07-21,BANK TRANSFER INV20250115 EASTGATE CLINIC,6124.00
2025-07-22,NEFT NORTHBAY CATERING INV20250099,5106.75
2025-07-22,PAYROLL RUN,-3361.50
2025-07-24,RENT STANDING ORDER,-2404.00
2025-07-26,ACH CREDIT NORTHBAY CATERING REF INV20250125,3878.00
2025-07-26,NEFT KESTREL LOGISTICS INV20250106,4475.75
2025-07-26,TRANSFER FROM ORCHID WELLNESS,2350.25
2025-07-30,PART PAYMENT COREWAVE MEDIA INV20250120,3579.20
2025-08-02,RENT STANDING ORDER,-1216.25
2025-08-02,RENT STANDING ORDER,-687.50
2025-08-03,REMITTANCE INV20250112,2592.75
2025-08-04,REMITTANCE INV20250094,1338.00
2025-08-05,PAYMENT RECEIVED LUMEN MARKETING INV20250110,7389.75
2025-08-06,SOFTWARE SUBSCRIPTION,-2702.99
2025-08-06,FUEL STATION,-4045.25
2025-08-07,RENT STANDING ORDER,-2523.00
2025-08-09,BANK TRANSFER INV20250119 MAPLEWOOD PROPERTY,3050.50
2025-08-10,RTGS KESTREL LOGISTICS BULK PAYMENT,7529.75
2025-08-10,PAYROLL RUN,-1001.99
2025-08-11,REMITTANCE INV20250130,4429.00
2025-08-13,REMITTANCE INV20250122,1921.50
2025-08-13,RTGS COREWAVE MEDIA BULK PAYMENT,14253.00
2025-08-16,REMITTANCE INV20250123,7861.00
2025-08-17,NEFT NORTHBAY CATERING INV20250124,7691.25
2025-08-17,PAYROLL RUN,-710.75
2025-08-20,BANK TRANSFER INV20250141 IRONWOOD JOINERY,2235.00
2025-08-22,BANK TRANSFER INV20250127 NORTHBAY CATERING,1287.25
2025-08-22,CARD PURCHASE OFFICEMART,-226.25
2025-08-24,RENT STANDING ORDER,-1222.50
2025-08-25,PAYMENT RECEIVED BLUEPEAK CONSULTING INV20250134,6461.75
2025-08-25,NEFT KESTREL LOGISTICS,6361.99
2025-08-26,BANK TRANSFER INV20250138 KESTREL LOGISTICS,2191.99
2025-08-26,PART PAYMENT ACME INTERIORS INV20250136,1520.21
2025-08-30,BANK TRANSFER INV20250128 KESTREL LOGISTICS,8496.50
2025-08-30,ACH CREDIT GRIDLINE ELECTRICAL REF INV20250111,308.00
2025-08-31,SOFTWARE SUBSCRIPTION,-345.00
2025-09-01,CARD PURCHASE OFFICEMART,-860.50
2025-09-03,PAYMENT RECEIVED ORCHID WELLNESS INV20250143,3001.75
2025-09-04,PAYMENT RECEIVED COREWAVE MEDIA INV20250118,4028.00
2025-09-07,PART PAYMENT EASTGATE CLINIC INV20250135,403.88
2025-09-08,BANK TRANSFER INV20250133 FERNHILL LANDSCAPING,7299.75
2025-09-08,SOFTWARE SUBSCRIPTION,-2674.25
2025-09-10,UTILITY DIRECT DEBIT,-1043.25
2025-09-11,CARD PURCHASE OFFICEMART,-940.00
2025-09-13,FUEL STATION,-3366.25
2025-09-14,PAYMENT RECEIVED BLUEPEAK CONSULTING INV20250137,5559.75
2025-09-14,VENDOR REBATE,286.99
2025-09-18,DELTA FABRICATION PAYMENT,7193.75
2025-09-19,ACH CREDIT EASTGATE CLINIC REF INV20250131,776.00
2025-09-23,CARD PURCHASE OFFICEMART,-1825.75
2025-09-24,IRONWOOD JOINERY PAYMENT,5217.99
2025-09-24,RTGS DELTA FABRICATION BULK PAYMENT,9179.00
2025-09-27,ACH CREDIT NORTHBAY CATERING REF INV20250162,8420.50
2025-09-28,BANK TRANSFER INV20250149 EASTGATE CLINIC,5641.00
2025-09-29,REMITTANCE INV20250160,7762.99
2025-09-30,ACH CREDIT ORCHID WELLNESS REF INV20250154,3335.99
2025-09-30,TAX REFUND,267.50
2025-10-02,PAYMENT RECEIVED IRONWOOD JOINERY INV20250161,5348.50
2025-10-03,FUEL STATION,-3036.50
2025-10-04,EFT COREWAVE MEDIA,240.00
2025-10-04,FUEL STATION,-1766.75
2025-10-07,UTILITY DIRECT DEBIT,-363.00
2025-10-10,SOFTWARE SUBSCRIPTION,-2265.00
2025-10-11,PAYMENT RECEIVED GRIDLINE ELECTRICAL INV20250144,156.25
2025-10-14,NEFT HARBOR & SONS PLUMBING INV20250147,3651.75
2025-10-15,BANK TRANSFER INV20250173 DELTA FABRICATION,7033.50
2025-10-16,PAYMENT RECEIVED GRIDLINE ELECTRICAL INV20250157,3735.00
2025-10-19,PAYMENT RECEIVED BLUEPEAK CONSULTING INV20250171,6947.50
2025-10-19,SOFTWARE SUBSCRIPTION,-1013.00
2025-10-20,PAYMENT RECEIVED MAPLEWOOD PROPERTY INV20250148,2930.99
2025-10-20,EFT MAPLEWOOD PROPERTY,6539.50
2025-10-21,NEFT EASTGATE CLINIC INV20250178,7290.50
2025-10-24,NEFT COREWAVE MEDIA INV20250169,2621.00
2025-10-24,REMITTANCE INV20250163,2757.99
2025-10-24,TRANSFER FROM NORTHBAY CATERING,1343.50
2025-10-24,UTILITY DIRECT DEBIT,-4086.00
2025-10-27,NEFT GRIDLINE ELECTRICAL INV20250179,5657.99
2025-10-27,FUEL STATION,-687.25
2025-10-28,ACH CREDIT KESTREL LOGISTICS REF INV20250146,5429.50
2025-10-29,FUEL STATION,-2514.50
2025-10-30,PAYMENT RECEIVED MAPLEWOOD PROPERTY INV20250150,3998.99
2025-11-04,RENT STANDING ORDER,-1849.00
2025-11-05,PAYMENT RECEIVED IRONWOOD JOINERY INV20250182,591.50
2025-11-07,PAYROLL RUN,-2478.25
2025-11-08,NEFT HARBOR & SONS PLUMBING INV20250175,246.25
2025-11-08,SOFTWARE SUBSCRIPTION,-2795.75
2025-11-08,UTILITY DIRECT DEBIT,-176.25
2025-11-09,ACH CREDIT EASTGATE CLINIC REF INV20250185,6361.25
2025-11-09,EFT GRIDLINE ELECTRICAL,8249.50
2025-11-09,RENT STANDING ORDER,-539.75
2025-11-11,PAYMENT RECEIVED IRONWOOD JOINERY INV20250172,7783.50
2025-11-11,PAYROLL RUN,-1850.50
2025-11-14,ACH CREDIT DELTA FABRICATION REF INV20250194,2218.50
2025-11-17,FUEL STATION,-258.75
2025-11-17,FUEL STATION,-218.50
2025-11-19,NEFT KESTREL LOGISTICS,4069.25
2025-11-20,FUEL STATION,-1001.99
2025-11-21,PAYMENT RECEIVED HARBOR & SONS PLUMBING INV20250186,5505.25
2025-11-22,REMITTANCE INV20250183,594.00
2025-11-22,BANK TRANSFER INV20250167 BLUEPEAK CONSULTING,4831.00
2025-11-22,BANK TRANSFER INV20250192 MAPLEWOOD PROPERTY,658.00
2025-11-22,PAYROLL RUN,-1345.50
2025-11-24,BANK TRANSFER INV20250198 BLUEPEAK CONSULTING,570.25
2025-11-28,FUEL STATION,-2869.50
2025-11-28,PAYROLL RUN,-3259.75
2025-11-28,SOFTWARE SUBSCRIPTION,-2666.00
2025-11-29,REMITTANCE INV20250180,6774.99
2025-11-29,TRANSFER FROM LUMEN MARKETING,2653.99
2025-11-29,CASH DEPOSIT,194.25
2025-11-30,REMITTANCE INV20250201,4128.00
2025-11-30,RENT STANDING ORDER,-524.00
2025-12-03,UPI DELTA FABRICATION,4693.75
2025-12-03,PAYROLL RUN,-95.25
2025-12-06,PART PAYMENT MAPLEWOOD PROPERTY INV20250203,1045.54
2025-12-07,PAYMENT RECEIVED JUNIPER DESIGN CO INV20250197,2026.00
2025-12-09,NEFT HARBOR & SONS PLUMBING,7523.25
2025-12-09,PART PAYMENT KESTREL LOGISTICS INV20250191,548.25
2025-12-09,RENT STANDING ORDER,-133.25
2025-12-09,CASH DEPOSIT,199.75
2025-12-10,NEFT NORTHBAY CATERING INV20250193,483.75
2025-12-10,FUEL STATION,-3909.00
2025-12-11,ACH CREDIT GRIDLINE ELECTRICAL REF INV20250207,6084.99
2025-12-11,FUEL STATION,-937.50
2025-12-12,NEFT COREWAVE MEDIA INV20250184,7714.00
2025-12-13,UTILITY DIRECT DEBIT,-3783.00
2025-12-15,PART PAYMENT BLUEPEAK CONSULTING INV20250189,3377.65
2025-12-15,PART PAYMENT FERNHILL LANDSCAPING INV20250204,5018.29
2025-12-17,TRANSFER FROM BLUEPEAK CONSULTING,3721.50
2025-12-17,TAX REFUND,395.50
2025-12-18,PART PAYMENT EASTGATE CLINIC INV20250196,4335.10
2025-12-25,ACH CREDIT DELTA FABRICATION REF INV20250200,1395.75
2025-12-25,PAYROLL RUN,-2419.00
2025-12-26,NEFT BLUEPEAK CONSULTING INV20250205,8439.99
2025-12-26,PAYROLL RUN,-2298.00
2025-12-28,PAYMENT RECEIVED DELTA FABRICATION INV20250216,5963.25
2025-12-28,CARD PURCHASE OFFICEMART,-1502.75
2025-12-30,ACH CREDIT KESTREL LOGISTICS REF INV20250221,8191.50
2025-12-31,EFT LUMEN MARKETING INVOICE BATCH,18333.00
2026-01-01,NEFT JUNIPER DESIGN CO,6196.50
2026-01-01,CASH DEPOSIT,76.99
2026-01-02,EFT KESTREL LOGISTICS INVOICE BATCH,12658.75
2026-01-02,CARD PURCHASE OFFICEMART,-454.25
2026-01-03,REMITTANCE INV20250209,4575.75
2026-01-03,FUEL STATION,-2205.75
2026-01-04,EFT IRONWOOD JOINERY,1003.25
2026-01-05,NEFT MAPLEWOOD PROPERTY,5091.99
2026-01-09,ACH CREDIT MAPLEWOOD PROPERTY REF INV20250220,4087.99
2026-01-09,FUEL STATION,-1975.00
2026-01-10,NEFT GRIDLINE ELECTRICAL INV20250223,4136.25
2026-01-10,IRONWOOD JOINERY PAYMENT,3280.00
2026-01-13,NEFT ACME INTERIORS INV20250222,1674.25
2026-01-15,CARD PURCHASE OFFICEMART,-3321.00
2026-01-15,PAYROLL RUN,-1670.75
2026-01-17,NEFT BLUEPEAK CONSULTING INV20260228,3305.25
2026-01-17,PAYMENT RECEIVED ACME INTERIORS INV20250206,7032.50
2026-01-17,PART PAYMENT COREWAVE MEDIA INV20260233,3418.34
2026-01-19,BANK TRANSFER INV20250212 DELTA FABRICATION,1569.25
2026-01-19,UPI NORTHBAY CATERING,4547.25
2026-01-20,CARD PURCHASE OFFICEMART,-1600.00
2026-01-23,BANK TRANSFER INV20260235 ACME INTERIORS,4936.99
2026-01-23,PART PAYMENT MAPLEWOOD PROPERTY INV20260242,1999.92
2026-01-23,UTILITY DIRECT DEBIT,-3897.75
2026-01-24,PAYMENT RECEIVED KESTREL LOGISTICS INV20260236,8192.00
2026-01-26,PAYROLL RUN,-3919.00
2026-01-27,NEFT LUMEN MARKETING INV20260229,3183.00
2026-01-28,NEFT IRONWOOD JOINERY INV20260234,2223.25
2026-01-29,EASTGATE CLINIC PAYMENT,4676.75
2026-01-29,PAYROLL RUN,-2067.50
2026-01-30,REMITTANCE INV20260243,6968.75
2026-01-30,UTILITY DIRECT DEBIT,-2983.25
2026-01-31,SOFTWARE SUBSCRIPTION,-2651.99
2026-02-01,EFT HARBOR & SONS PLUMBING INVOICE BATCH,11207.00
2026-02-01,UTILITY DIRECT DEBIT,-3132.50
2026-02-02,PAYROLL RUN,-3699.25
2026-02-05,PAYMENT RECEIVED HARBOR & SONS PLUMBING INV20250208,2656.50
2026-02-05,SOFTWARE SUBSCRIPTION,-3729.75
2026-02-08,ACH CREDIT LUMEN MARKETING REF INV20260230,8083.25
2026-02-09,BANK TRANSFER INV20260259 ACME INTERIORS,2868.25
2026-02-12,BANK TRANSFER INV20260261 HARBOR & SONS PLUMBING,5132.99
2026-02-12,SOFTWARE SUBSCRIPTION,-1083.99
2026-02-17,REMITTANCE INV20260225,7121.99
2026-02-21,PAYMENT RECEIVED JUNIPER DESIGN CO INV20260231,4786.00
2026-02-22,BANK TRANSFER INV20260249 EASTGATE CLINIC,1480.00
2026-02-25,FUEL STATION,-4156.99
2026-02-26,EFT ACME INTERIORS,4808.50
2026-02-27,NEFT GRIDLINE ELECTRICAL INV20260251,7531.99
2026-03-02,BANK TRANSFER INV20260232 DELTA FABRICATION,5003.00
2026-03-03,ACH CREDIT JUNIPER DESIGN CO REF INV20260244,3847.75
2026-03-05,BANK INTEREST,293.00
2026-03-08,SOFTWARE SUBSCRIPTION,-288.50
2026-03-08,UTILITY DIRECT DEBIT,-1262.25
2026-03-09,PAYROLL RUN,-337.50
2026-03-09,TAX REFUND,83.00
2026-03-10,PAYROLL RUN,-1348.25
2026-03-12,BANK TRANSFER INV20260256 KESTREL LOGISTICS,3391.50
2026-03-12,NEFT HARBOR & SONS PLUMBING INV20260245,7403.25
2026-03-13,BANK TRANSFER INV20260250 COREWAVE MEDIA,1379.00
2026-03-14,BANK TRANSFER INV20260258 ORCHID WELLNESS,4502.00
2026-03-18,PART PAYMENT MAPLEWOOD PROPERTY INV20260275,2980.01
2026-03-21,ACH CREDIT JUNIPER DESIGN CO REF INV20260246,7175.25
2026-03-21,UPI GRIDLINE ELECTRICAL,5610.25
2026-03-22,REMITTANCE INV20260262,8349.75
2026-03-22,ACH CREDIT LUMEN MARKETING REF INV20260260,4878.50
2026-03-22,TRANSFER FROM ORCHID WELLNESS,4484.99
2026-03-23,WIRE TRANSFER EASTGATE CLINIC,20229.49
2026-03-23,WIRE TRANSFER JUNIPER DESIGN CO,8319.99
2026-03-28,ACH CREDIT HARBOR & SONS PLUMBING REF INV20260252,4921.00
2026-03-31,PAYROLL RUN,-1819.00
2026-04-01,REMITTANCE INV20260254,1316.99
2026-04-01,UTILITY DIRECT DEBIT,-4006.50
2026-04-03,FUEL STATION,-2140.99
2026-04-03,CARD PURCHASE OFFICEMART,-1722.99
2026-04-04,NEFT DELTA FABRICATION INV20260265,489.99
2026-04-05,TRANSFER FROM IRONWOOD JOINERY,7395.25
2026-04-07,WIRE TRANSFER ORCHID WELLNESS,16162.50
2026-04-08,SOFTWARE SUBSCRIPTION,-3003.00
2026-04-09,EFT HARBOR & SONS PLUMBING,1644.50
2026-04-10,REMITTANCE INV20260271,2784.25
2026-04-10,EFT FERNHILL LANDSCAPING,4285.25
2026-04-11,BLUEPEAK CONSULTING PAYMENT,803.50
2026-04-11,PAYROLL RUN,-1194.00
2026-04-13,ACH CREDIT EASTGATE CLINIC REF INV20260266,809.00
2026-04-15,BANK TRANSFER INV20260288 ORCHID WELLNESS,8477.99
2026-04-15,CARD PURCHASE OFFICEMART,-530.00
2026-04-15,PAYROLL RUN,-3443.50
2026-04-20,FUEL STATION,-2147.99
2026-04-22,WIRE TRANSFER BLUEPEAK CONSULTING,6227.49
2026-04-25,FUEL STATION,-3514.75
2026-04-27,REMITTANCE INV20260278,7392.00
2026-04-27,PAYMENT RECEIVED BLUEPEAK CONSULTING INV20260283,3831.00
2026-04-28,NEFT EASTGATE CLINIC INV20260282,374.75
2026-04-28,PAYMENT RECEIVED FERNHILL LANDSCAPING INV20260264,4252.00
2026-04-28,BANK INTEREST,374.50
2026-05-03,PART PAYMENT GRIDLINE ELECTRICAL INV20260286,3786.08
2026-05-04,CARD PURCHASE OFFICEMART,-2391.50
2026-05-05,REMITTANCE INV20260290,6948.25
2026-05-06,NEFT IRONWOOD JOINERY INV20260295,6330.50
2026-05-06,RENT STANDING ORDER,-1904.99
2026-05-07,UPI GRIDLINE ELECTRICAL,751.50
2026-05-08,REMITTANCE INV20260291,4527.00
2026-05-08,UTILITY DIRECT DEBIT,-1673.25
2026-05-10,SOFTWARE SUBSCRIPTION,-3126.25
2026-05-11,NEFT NORTHBAY CATERING INV20260289,1293.25
2026-05-11,NEFT IRONWOOD JOINERY INV20260294,8085.25
2026-05-11,PAYROLL RUN,-1695.75
2026-05-11,PAYROLL RUN,-1715.50
2026-05-12,RENT STANDING ORDER,-2280.25
2026-05-14,UPI ACME INTERIORS,7719.50
2026-05-15,PART PAYMENT NORTHBAY CATERING INV20260307,2213.60
2026-05-16,PAYMENT RECEIVED KESTREL LOGISTICS INV20260293,8172.00
2026-05-16,PAYROLL RUN,-2059.25
2026-05-17,NEFT COREWAVE MEDIA INV20260301,8379.75
2026-05-17,ACH CREDIT HARBOR & SONS PLUMBING REF INV20260287,2519.50
2026-05-17,ACH CREDIT NORTHBAY CATERING REF INV20260302,1794.50
2026-05-17,JUNIPER DESIGN CO PAYMENT,6662.99
2026-05-18,IRONWOOD JOINERY PAYMENT,7636.00
2026-05-18,JUNIPER DESIGN CO PAYMENT,4070.99
2026-05-19,BANK TRANSFER INV20260285 EASTGATE CLINIC,8487.99
2026-05-21,CARD PURCHASE OFFICEMART,-3689.00
2026-05-21,CASH DEPOSIT,282.99
2026-05-23,VENDOR REBATE,91.99
2026-05-27,SOFTWARE SUBSCRIPTION,-3895.25
2026-05-28,PAYROLL RUN,-2411.00
2026-05-28,CARD PURCHASE OFFICEMART,-2861.99
2026-05-30,CARD PURCHASE OFFICEMART,-777.50
2026-06-02,REMITTANCE INV20260305,7842.25
2026-06-03,SOFTWARE SUBSCRIPTION,-3903.99
2026-06-06,REMITTANCE INV20260298,7899.99
2026-06-06,UTILITY DIRECT DEBIT,-2275.00
2026-06-07,UTILITY DIRECT DEBIT,-2012.00
2026-06-10,UPI BLUEPEAK CONSULTING,6417.75
2026-06-11,ACH CREDIT IRONWOOD JOINERY REF INV20260308,6376.25
2026-06-11,ACH CREDIT JUNIPER DESIGN CO REF INV20260310,1271.00
2026-06-11,UTILITY DIRECT DEBIT,-4136.00
2026-06-11,SOFTWARE SUBSCRIPTION,-4052.99
2026-06-14,PART PAYMENT FERNHILL LANDSCAPING INV20260315,727.09
2026-06-16,TRANSFER FROM BLUEPEAK CONSULTING,7260.00
2026-06-17,UTILITY DIRECT DEBIT,-4125.25
2026-06-17,PAYROLL RUN,-2726.75
2026-06-17,RENT STANDING ORDER,-750.50
2026-06-19,PAYMENT RECEIVED LUMEN MARKETING INV20260309,8144.75
2026-06-20,REMITTANCE INV20260296,4062.75
2026-06-20,PAYMENT RECEIVED NORTHBAY CATERING INV20260300,2642.50
2026-06-25,ACH CREDIT JUNIPER DESIGN CO REF INV20260332,953.75
2026-06-26,LUMEN MARKETING PAYMENT,4987.00
2026-06-26,EFT IRONWOOD JOINERY INVOICE BATCH,9639.75
2026-06-26,FUEL STATION,-3154.00
2026-07-04,NEFT HARBOR & SONS PLUMBING INV20260328,1897.00
2026-07-04,BANK TRANSFER INV20260299 GRIDLINE ELECTRICAL,6475.99
2026-07-04,RTGS LUMEN MARKETING BULK PAYMENT,6838.25
2026-07-06,PAYMENT RECEIVED DELTA FABRICATION INV20260321,7705.99
2026-07-08,REMITTANCE INV20260323,7772.25
2026-07-12,UPI COREWAVE MEDIA,6867.99
2026-07-13,BANK TRANSFER INV20260331 KESTREL LOGISTICS,6634.25
2026-07-19,PAYMENT RECEIVED JUNIPER DESIGN CO INV20260329,6031.75
2026-07-22,NEFT HARBOR & SONS PLUMBING INV20260333,4839.00
2026-07-23,NEFT EASTGATE CLINIC INV20260327,3413.50
2026-07-28,NEFT DELTA FABRICATION INV20260320,8303.75
